OrderID,CustomerID,OrderDate,ShippingDate,ProductID,Quantity,TotalAmount,OrderStatus,PaymentMethod,ShippingAddress
ORD0000139,CUST0064,2023-12-30,2023-12-31,PROD0029,2,435.42,Shipped,Credit Card,"457 Vargas Island Suite 853, Lake Patrickstad, MA 67652"
ORD0000140,CUST0018,2023-11-17,2023-11-19,PROD0024,4,552.76,Delivered,Credit Card,"1569 Amy Path, North Ashleyton, MN 24070"
ORD0000141,CUST0005,2024-03-26,2024-03-28,PROD0012,2,42.06,Delivered,PayPal,"0375 Sandra Trace Suite 826, Gailshire, NJ 28423"
ORD0000142,CUST0085,2024-11-03,2024-11-05,PROD0008,2,209.68,Delivered,Credit Card,"929 Stewart Islands Suite 928, Myersstad, MS 39195"
ORD0000143,CUST0081,2024-02-16,2024-02-19,PROD0008,1,107.88,Delivered,Credit Card,"957 Carol Road, West John, PR 34147"
ORD0000144,CUST0006,2024-06-15,2024-06-15,PROD0002,7,399.21,Delivered,PayPal,"7329 Jacobs Station, New Tylerborough, LA 51577"
ORD0000145,CUST0018,2024-02-29,2024-03-01,PROD0009,2,364.38,Delivered,Credit Card,"5003 Cassandra Estates Suite 148, Haleychester, GU 41681"
ORD0000146,CUST0043,2024-10-09,2024-10-09,PROD0029,2,134.12,Delivered,PayPal,"10524 Parker Mall Suite 531, Port Courtneyhaven, AK 87022"
ORD0000147,CUST0088,2024-06-28,2024-06-30,PROD0029,4,484.44,Delivered,Credit Card,"300 Madison Stream, Christophershire, VI 51801"
ORD0000148,CUST0050,2024-08-16,2024-08-18,PROD0006,2,93.8,Shipped,PayPal,"4229 Derrick Wells, West Tyler, ME 19541"
ORD0000149,CUST0011,2024-08-26,2024-08-29,PROD0012,5,244.85,Shipped,Credit Card,"26239 Michael Shoals, Gregoryview, CO 94903"
ORD0000150,CUST0003,2024-08-12,2024-08-13,PROD0010,1,200.94,Delivered,PayPal,"302 Joy Spring Apt. 622, Ryanhaven, MD 29335"
ORD0000151,CUST0059,2024-08-01,2024-08-03,PROD0027,3,462.75,Delivered,Credit Card,"734 Craig Overpass Suite 589, Jefferyside, MO 09083"
ORD0000152,CUST0095,2024-01-22,2024-01-23,PROD0029,1,112.39,Delivered,Credit Card,"272 Green Street, Port Lacey, WA 09470"
ORD0000153,CUST0020,2024-02-25,2024-02-26,PROD0017,2,188.8,Delivered,PayPal,"8056 Dunn Trail Apt. 049, Blackshire, MT 28043"
ORD0000154,CUST0044,2024-05-15,2024-05-15,PROD0014,7,1128.47,Delivered,Credit Card,"86187 Antonio Fort, North Carmen, MT 09631"
ORD0000155,CUST0005,2024-10-24,2024-10-25,PROD0025,3,317.1,Canceled,Credit Card,"337 James Walks, New Davidborough, OH 76106"
ORD0000156,CUST0051,2024-06-03,2024-06-05,PROD0026,2,179.56,Shipped,Credit Card,"647 Michael Trafficway Apt. 037, New Evelyn, GU 01420"
ORD0000157,CUST0088,2024-01-09,2024-01-10,PROD0030,4,401.04,Canceled,Cash,"94465 Wiley Corners Apt. 759, East Michellechester, PW 31967"
ORD0000158,CUST0098,2024-10-12,2024-10-14,PROD0010,2,56.9,Delivered,Credit Card,"85218 Flores Stream Apt. 533, Adriennechester, SD 95614"
ORD0000159,CUST0043,2024-08-27,2024-08-29,PROD0010,3,486.69,Delivered,Cash,"71428 Maria Overpass, Ericberg, FM 75555"
ORD0000160,CUST0021,2024-04-29,2024-04-30,PROD0008,5,641.3,Delivered,Credit Card,"22786 Mary Hills, Berrystad, SD 13414"
ORD0000161,CUST0045,2023-12-24,2023-12-24,PROD0013,3,120.06,Delivered,PayPal,"91749 Park Underpass, Martinville, TX 76676"
ORD0000162,CUST0077,2024-08-23,2024-08-23,PROD0017,1,109.46,Delivered,Cash,"3032 Michelle Drives, North Daniel, CT 35829"
ORD0000163,CUST0093,2024-07-13,2024-07-15,PROD0018,4,446.2,Delivered,PayPal,"601 Maria Mission Apt. 554, Myerstown, LA 86078"
ORD0000164,CUST0055,2024-02-16,2024-02-18,PROD0012,2,331.68,Delivered,Cash,"238 Shawn Well, Port Johnshire, NC 72291"
ORD0000165,CUST0081,2024-01-04,2024-01-04,PROD0025,2,255.3,Delivered,Credit Card,"41743 Berger Inlet Apt. 527, South Tammymouth, AR 83278"
ORD0000166,CUST0002,2024-09-11,2024-09-11,PROD0018,7,267.4,Canceled,Credit Card,"9983 Mary Grove Apt. 643, Beardview, NY 53474"
ORD0000167,CUST0056,2024-01-05,2024-01-07,PROD0006,4,340.04,Delivered,PayPal,"03541 Ryan Islands Apt. 562, East Michaelfort, NV 23276"
ORD0000168,CUST0073,2024-08-07,2024-08-10,PROD0018,2,414.96,Delivered,PayPal,"6591 Angela Mission Apt. 108, Penabury, MO 84003"
ORD0000169,CUST0098,2024-08-20,2024-08-20,PROD0006,2,250,Canceled,Credit Card,"492 Ramirez Crossing, Aaronberg, AL 12712"
ORD0000170,CUST0025,2024-03-25,2024-03-26,PROD0028,3,57,Delivered,Cash,"35974 Sharon Locks Apt. 101, Jennyport, ND 15579"
ORD0000171,CUST0036,2024-05-27,2024-05-28,PROD0009,1,101.53,Delivered,PayPal,"89403 Gabriella Mills, East Steven, MH 91501"
ORD0000172,CUST0058,2024-01-19,2024-01-20,PROD0021,8,1264.24,Canceled,PayPal,"601 Kyle Roads, Clarkfurt, IN 61202"
ORD0000173,CUST0035,2024-07-22,2024-07-23,PROD0014,6,1184.46,Shipped,PayPal,"60969 Justin Passage Suite 774, Joshuaburgh, HI 29630"
ORD0000174,CUST0012,2024-10-29,2024-10-31,PROD0011,2,205.3,Delivered,Credit Card,"7943 Tina Mount, East Lisa, UT 79358"
ORD0000175,CUST0082,2024-03-22,2024-03-22,PROD0029,3,199.32,Shipped,PayPal,"6775 James Ford, South Victorialand, VA 68528"
ORD0000176,CUST0046,2024-08-10,2024-08-11,PROD0022,3,250.62,Delivered,Cash,"431 Johnson Neck Suite 039, Mariechester, NV 92770"
ORD0000177,CUST0018,2024-06-01,2024-06-02,PROD0001,3,574.29,Delivered,Credit Card,"15666 Justin Locks, Lake Ryanport, TX 64085"
ORD0000178,CUST0025,2024-01-13,2024-01-16,PROD0026,3,171.78,Shipped,Cash,"9947 Torres Viaduct Apt. 506, Benjaminport, CA 89854"
ORD0000179,CUST0004,2024-02-11,2024-02-11,PROD0014,6,647.1,Canceled,PayPal,"Unit 3609 Box 5227, DPO AE 13554"
ORD0000180,CUST0036,2024-01-22,2024-01-22,PROD0017,3,194.31,Delivered,Credit Card,"USS Perez, FPO AE 01800"
